Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
A Society AB,5562221068,Mobilvägen 10,223 62,Lund,Lund,1967.1,2024,50,1982,https://www.asociety.se,rekrytering@asociety.se,Ny kandidat
Upgraded People AB,5568200462,Lillsjöraden 22,553 20,Jönköping,Jönköping,1731.2,2024,4,2010,https://upgraded.se,,Ny kandidat
Bonliva AB,5568572886,Sankt Eriksgatan 117 9tr,113 43,Stockholm,Stockholm,1559.4,2024,530,2011,https://www.bonliva.se,,Ny kandidat
Frilans Finans Sverige AB,5568021199,Dag Hammarskjölds Väg 13,752 37,Uppsala,Uppsala,1468.4,2025,23,2010,https://www.frilansfinans.se,info@frilansfinans.se,Ny kandidat
Key Man Aktiebolag,5565270153,Kungsgatan 44 4tr,111 35,Stockholm,Stockholm,1219.9,2025,23,1995,https://www.keyman.se,,Ny kandidat
DistIT Services AB,5561615864,Glasfibergatan 8,125 45,Älvsjö,Stockholm,632.8,2025,0,1972,,,Ny kandidat
Remote Technology Sweden AB,5592820327,Box 16285,103 25,Stockholm,Stockholm,511.9,2024,302,2020,https://remote.com,,Ny kandidat
Cool Company Skandinavien AB,5564328390,Tegnérgatan 2C,113 58,Stockholm,Stockholm,492.6,2025,462,1991,https://coolcompany.com/se,info@coolcompany.com,Ny kandidat
Agila Doctor AB,5567552863,"c/o UNITED SPACES, Götgatan 22 a",118 46,Stockholm,Stockholm,429.3,2023,76,2008,https://www.agila.se,,Ny kandidat
Mpya Finance AB,5590691555,Centralplan 15,111 20,Stockholm,Stockholm,420.6,2025,241,2016,https://mpyafinance.se,hej@mpya.se,Ny kandidat
Jobandtalent Logistics Sweden AB,5567582647,Norra Promenaden 63,602 38,Norrköping,Norrköping,396.4,2024,787,2008,https://www.jobandtalent.se,,Ny kandidat
LäkarLeasing Sverige AB,5566784426,Norra Stationsgatan 93,113 64,Stockholm,Stockholm,354.1,2024,85,2005,https://lakarleasing.se,kontakt@lakarleasing.se,Ny kandidat
Medlink Nordic AB,5569606188,Kungsgatan 12,111 35,Stockholm,Solna,318.3,2024,115,2014,https://medlink.se,info@medlink.se,Ny kandidat
Invoicery Business AB,5591175541,Dag Hammarskjölds Väg 13,752 37,Uppsala,Uppsala,318.1,2025,8331,2017,,,Ny kandidat
Globalization Partners HR Sweden AB,5591213995,Villagatan 19,114 32,Stockholm,Stockholm,317.8,2024,171,2017,https://www.globalization-partners.com,,Ny kandidat
Developers Bay AB,5590018122,Olof Palmes Gata 11 7tr.,111 37,Stockholm,Stockholm,304.7,2025,23,2015,https://developersbay.se,,Ny kandidat
Sverek AB,5566305461,Åsögatan 108,118 29,Stockholm,Stockholm,295.7,2024,140,2002,https://sverek.se,info@sverek.se,Ny kandidat
Svenska Storesupport Lager & Logistik AB,5590636295,Vretenvägen 13,171 54,Solna,Solna,262.4,2024,424,2016,https://storesupport.se,,Ny kandidat
F.H.U Premium AB,5593334609,Nobelvägen 2 Box 975,802 67,Gävle,Gävle,253.3,2025,50,2021,https://fhupremiumab.com,,Ny kandidat
Jobandtalent Staffing Sweden South AB,5567338727,Bures Gata 11,215 34,Malmö,Malmö,248.7,2024,173,2007,https://www.jobandtalent.se,,Ny kandidat
TG Tunnelgruppen AB,5593281289,Bjursta 204,881 93,Sollefteå,Sollefteå,241,2025,42,2021,,,Ny kandidat
Xamera AB,5569356735,Industrigatan 5,582 77,Linköping,Linköping,239,2025,219,2013,https://xamera.se,,Ny kandidat
Alumni AB,5564311826,Kungsbron 1 d 8,111 22,Stockholm,Stockholm,226.5,2025,66,1991,https://alumni.se,,Ny kandidat
Gazella AB,5569733982,Västra Järnvägsgatan 23,111 64,Stockholm,Stockholm,226,2024,115,2014,https://www.gazella.se,info@gazella.se,Ny kandidat
Braathens People AB,5569393712,Gårdsfogdevägen 16,168 67,Bromma,Stockholm,222.4,2025,249,2013,,,Ny kandidat
Sirius Crew AB,5591297360,Donsö Hamnväg 38,430 82,Donsö,Göteborg,219.4,2025,209,2017,,,Ny kandidat
Viva Bemanning AB,5591982029,Gånstavägen 4,749 43,Enköping,Enköping,212,2024,124,2019,https://www.vivabemanning.se,info@vivabemanning.se,Ny kandidat
Egon Zehnder Sweden AB,5569194177,Turning Torso,211 15,Malmö,Malmö,197,2025,1,2013,https://www.egonzehnder.com,,Ny kandidat
CXC Global Sweden AB,5591659932,Birger Jarlsgatan 57 b,113 56,Stockholm,Stockholm,196.5,2024,1,2018,https://www.cxcglobal.com,,Ny kandidat
Gigapay Sweden AB,5590703616,Brunnsgränd 4 5tr,111 30,Stockholm,Stockholm,195.3,2024,15,2016,https://www.gigapay.com,,Ny kandidat
Finance Recruitment Sweden AB,5569686552,Kungsgatan 4 A 3TR,111 43,Stockholm,Stockholm,186.8,2025,31,2014,https://www.financerecruitment.se,info@financerecruitment.se,Ny kandidat
MU Group AB,5594082009,Sveavägen 24-26,111 57,Stockholm,Stockholm,177.2,2024,49,2022,,,Ny kandidat
