id,rang,namn,org.nr,ort,omsättning,år,anställda,hemsida,vision,beskrivning,yrkesområden,tjänster,källa
60,4,A Society AB,556222-1068,Lund,"1 967,1 Mkr",2024,50,https://www.asociety.se,,,,,
61,6,Upgraded People AB,556820-0462,Jönköping,"1 731,2 Mkr",2024,4,https://upgraded.se,,,,,
62,8,Bonliva AB,556857-2886,Stockholm,"1 559,4 Mkr",2024,530,https://www.bonliva.se,,,,,
63,9,Frilans Finans Sverige AB,556802-1199,Uppsala,"1 468,4 Mkr",2025,23,https://www.frilansfinans.se,,,,,
64,11,Key Man Aktiebolag,556527-0153,Stockholm,"1 219,9 Mkr",2025,23,https://www.keyman.se,,,,,
65,19,DistIT Services AB,556161-5864,Älvsjö,"632,8 Mkr",2025,,,,,,,
66,21,Remote Technology Sweden AB,559282-0327,Stockholm,"511,9 Mkr",2024,302,https://remote.com,,,,,
67,23,Cool Company Skandinavien AB,556432-8390,Stockholm,"492,6 Mkr",2025,462,https://coolcompany.com/se,,,,,
68,25,Agila Doctor AB,556755-2863,Stockholm,"429,3 Mkr",2023,76,https://www.agila.se,,,,,
69,26,Mpya Finance AB,559069-1555,Stockholm,"420,6 Mkr",2025,241,https://mpyafinance.se,,,,,
70,28,Jobandtalent Logistics Sweden AB,556758-2647,Norrköping,"396,4 Mkr",2024,787,https://www.jobandtalent.se,,,,,
71,35,Medlink Nordic AB,556960-6188,Stockholm,"318,3 Mkr",2024,115,https://medlink.se,,,,,
72,36,Invoicery Business AB,559117-5541,Uppsala,"318,1 Mkr",2025,8331,,,,,,
73,37,Globalization Partners HR Sweden AB,559121-3995,Stockholm,"317,8 Mkr",2024,171,https://www.globalization-partners.com,,,,,
74,39,Developers Bay AB,559001-8122,Stockholm,"304,7 Mkr",2025,23,https://developersbay.se,,,,,
75,40,Sverek AB,556630-5461,Stockholm,"295,7 Mkr",2024,140,https://sverek.se,,,,,
76,42,Svenska Storesupport Lager & Logistik AB,559063-6295,Solna,"262,4 Mkr",2024,424,https://storesupport.se,,,,,
77,43,F.H.U Premium AB,559333-4609,Gävle,"253,3 Mkr",2025,50,https://fhupremiumab.com,,,,,
78,44,Jobandtalent Staffing Sweden South AB,556733-8727,Malmö,"248,7 Mkr",2024,173,https://www.jobandtalent.se,,,,,
79,45,TG Tunnelgruppen AB,559328-1289,Sollefteå,241 Mkr,2025,42,,,,,,
80,46,Xamera AB,556935-6735,Linköping,239 Mkr,2025,219,https://xamera.se,,,,,
81,48,Braathens People AB,556939-3712,Bromma,"222,4 Mkr",2025,249,,,,,,
82,50,Sirius Crew AB,559129-7360,Donsö,"219,4 Mkr",2025,209,,,,,,
83,53,Viva Bemanning AB,559198-2029,Enköping,212 Mkr,2024,124,https://www.vivabemanning.se,,,,,
84,54,CXC Global Sweden AB,559165-9932,Stockholm,"196,5 Mkr",2024,1,https://www.cxcglobal.com,,,,,
85,55,Gigapay Sweden AB,559070-3616,Stockholm,"195,3 Mkr",2024,15,https://www.gigapay.com,,,,,
86,56,Finance Recruitment Sweden AB,556968-6552,Stockholm,"186,8 Mkr",2025,31,https://www.financerecruitment.se,,,,,
87,58,MU Group AB,559408-2009,Stockholm,"177,2 Mkr",2024,49,,,,,,
88,59,Friday Väst AB,559141-1326,Göteborg,"176,8 Mkr",2025,191,https://www.friday.se,,,,,
89,60,Nordic Interim Executive Solutions Aktiebolag,556655-4050,Stockholm,"174,4 Mkr",2024,14,https://www.nordicinterim.com,,,,,
90,64,Effective Sourcing EFFSO AB,556729-3922,Solna,"169,3 Mkr",2025,62,https://effso.se,,,,,
91,66,Egon Zehnder Management AB,556919-4185,Malmö,"159,8 Mkr",2025,25,https://www.egonzehnder.com,,,,,
92,67,AKG Sverige AB,559357-9823,Solna,"150,5 Mkr",2025,131,,,,,,
93,68,ProTrain Resurs AB,559121-5578,Mjölby,"150,1 Mkr",2025,143,https://www.protrain.se/,,,,,
94,69,VG Consulting Sweden AB,559255-5519,Malmö,"149,5 Mkr",2024,62,,,,,,
95,70,Marieberg Media AB,556334-7953,Stockholm,"148,6 Mkr",2024,171,https://www.mariebergmedia.se,,,,,
96,74,Medcura AB,556642-6242,Stockholm,"141,1 Mkr",2024,79,https://medcura.se/,,,,,
97,77,Wise Consulting AB,556421-9763,Stockholm,"127,3 Mkr",2025,66,https://en.wisegroup.se/verksamhet/wise-consulting/wiseconsulting/,,,,,
98,78,Future Value AB,556802-4326,Stockholm,"125,2 Mkr",2025,26,https://futurevalue.se/,,,,,
99,79,Corplus AB,556886-3582,Stockholm,"124,6 Mkr",2025,22,https://www.corplus.se/,,,,,
100,81,Agito Sverige AB,556745-7121,Malmö,124 Mkr,2025,33,https://www.agito.org,,,,,
101,82,Prodiem AB,556637-4186,Stockholm,"123,8 Mkr",2026,7,https://www.prodiem.se/en/startpage/,,,,,
102,83,Partbyggen i Kalix AB,556400-3357,Kalix,"118,5 Mkr",2024,205,,,,,,
103,84,Agila FPA AB,559085-3676,Stockholm,"118,1 Mkr",2023,80,https://www.agila.se/,,,,,
