id,namn,slug
1,"Jovi Konsult AB",jovi-konsult
2,"StudentConsulting Sweden AB (publ)",studentconsulting-sweden-ab-publ
3,"OnePartnerGroup",onepartnergroup
4,"WRKFRC Bemanning & Rekrytering AB",wrkfrc-bemanning-och-rekrytering
5,"Posti (f.d. Aditro Logistics)",posti-f-d-aditro-logistics
6,"Lernia Bemanning AB",lernia-bemanning
7,"Adecco Sweden AB",adecco-sweden
8,"Manpower AB",manpower
9,"Randstad AB",randstad
10,"A-Staffing Construction AB",a-staffing-construction
11,"DFDS Professionals AB",dfds-professionals
12,"adacto people AB",adacto-people
13,"LN Personal AB",ln-personal
14,"EHRAB ByggBemanning AB",ehrab-byggbemanning
15,"ANGI Bemanning AB",angi-bemanning
16,"Lundin Bemanning AB",lundin-bemanning
17,"IMW Personal Ringön AB",imw-personal-ringon
18,"EUSTAFF SWEDEN AB",eustaff-sweden
19,"TEMP-TEAM Sverige AB",temp-team-sverige
20,"Intenso Teknikrekrytering AB",intenso-teknikrekrytering
21,"Perido AB",perido
22,"Experis AB",experis
23,"Akkodis Sweden AB",akkodis-sweden
24,"Uniflex AB",uniflex
25,"Academic Work Sweden AB",academic-work-sweden
26,"Bravura Sverige AB",bravura-sverige
27,"TNG Group AB",tng-group
28,"Clevry Sweden AB",clevry-sweden
29,"Veteranpoolen AB",veteranpoolen
30,"Dedicare Sverige AB",dedicare-sverige
31,"LäkarLeasing Sverige AB",lakarleasing-sverige
32,"Vårdbemanning Sverige AB",vardbemanning-sverige
33,"Professional Consulting Sweden AB",professional-consulting-sweden
34,"Wise Professionals Konsult AB",wise-professionals-konsult
35,"SJR in Sweden AB",sjr-in-sweden
36,"Meritmind Aktiebolag",meritmind-aktiebolag
37,"Jurek Recruitment & Consulting AB",jurek-recruitment-och-consulting
38,"Gazella AB",gazella
39,"Novare Executive Search Aktiebolag",novare-executive-search-aktiebolag
40,"Egon Zehnder Sweden AB",egon-zehnder-sweden
41,"Alumni AB",alumni
42,"Clockwork Bemanning & Rekrytering AB",clockwork-bemanning-och-rekrytering
43,"Wikan Personal AB",wikan-personal
44,"Montico HR Partner AB",montico-hr-partner
45,"Konsultia AB",konsultia
46,"Nr.1 Personalpartner AB",nr-1-personalpartner
47,"Fasticon Kompetens AB",fasticon-kompetens
48,"Storesupport Sverige AB",storesupport-sverige
49,"Framtiden i Sverige AB",framtiden-i-sverige
50,"Amendo Konsult & Rekrytering AB",amendo-konsult-och-rekrytering
51,"RA Hospitality i Göteborg AB",ra-hospitality-i-goteborg
