Bolagsnamn,Org.nr,Hemsida,Mejl,Fokusnotering,Träffsäkerhet,Besöksadress,Ort,Omsättning (Mkr),Anställda
A Society AB,5562221068,https://www.asociety.se,rekrytering@asociety.se,IT/R&D-konsultförmedling och rekrytering av frilanskonsulter.,high,Mobilvägen 10,Lund,1967.1,50
Upgraded People AB,5568200462,https://upgraded.se,,"IT-konsultförmedling, bemanning och rekrytering (konsultmäkleri).",high,Lillsjöraden 22,Jönköping,1731.2,4
Bonliva AB,5568572886,https://www.bonliva.se,,"Vårdbemanning - sjukvård, skola och omsorg.",high,Sankt Eriksgatan 117 9tr,Stockholm,1559.4,530
Frilans Finans Sverige AB,5568021199,https://www.frilansfinans.se,info@frilansfinans.se,Egenanställning - fakturera och arbeta utan eget företag.,high,Dag Hammarskjölds Väg 13,Uppsala,1468.4,23
Key Man Aktiebolag,5565270153,https://www.keyman.se,,"IT-konsultmäkleri (helpdesk, support, nätverk, projektledning, programmering).",high,Kungsgatan 44 4tr,Stockholm,1219.9,23
DistIT Services AB,5561615864,,,"Okänt - verkar vara ett koncerninternt service-/personalbolag inom DistIT-koncernen (elektronikdistribution), inte en publik bemannings-/rekryteringsverksamhet trots SNI-koden.",low,Glasfibergatan 8,Älvsjö,632.8,0
Remote Technology Sweden AB,5592820327,https://remote.com,,Employer of Record (EOR) - internationell anställning/bemanning utan att kunden behöver egen juridisk enhet i Sverige.,high,Box 16285,Stockholm,511.9,302
Cool Company Skandinavien AB,5564328390,https://coolcompany.com/se,info@coolcompany.com,Egenanställning/fakturering utan eget företag för frilansare och konsulter.,high,Tegnérgatan 2C,Stockholm,492.6,462
Agila Doctor AB,5567552863,https://www.agila.se,,"Vårdbemanning - läkare, sjuksköterskor, lärare, terapeuter och socionomer.",high,"c/o UNITED SPACES, Götgatan 22 a",Stockholm,429.3,76
Mpya Finance AB,5590691555,https://mpyafinance.se,hej@mpya.se,Rekrytering och konsultuthyrning av ekonomer (ekonomi/finans).,high,Centralplan 15,Stockholm,420.6,241
Jobandtalent Logistics Sweden AB,5567582647,https://www.jobandtalent.se,,Lager- och logistikbemanning.,high,Norra Promenaden 63,Norrköping,396.4,787
LäkarLeasing Sverige AB,5566784426,https://lakarleasing.se,kontakt@lakarleasing.se,Läkar- och sjuksköterskebemanning (vårdbemanning).,high,Norra Stationsgatan 93,Stockholm,354.1,85
Medlink Nordic AB,5569606188,https://medlink.se,info@medlink.se,"Vårdbemanning - sjuksköterskor, läkare, psykologer och socionomer.",high,Kungsgatan 12,Stockholm,318.3,115
Invoicery Business AB,5591175541,,,"Egenanställning - systerbolag till Frilans Finans inom Invoicery Group, inget eget publikt kundvarumärke hittat.",medium,Dag Hammarskjölds Väg 13,Uppsala,318.1,8331
Globalization Partners HR Sweden AB,5591213995,https://www.globalization-partners.com,,Employer of Record (EOR) - internationell anställning/bemanning (numera under varumärket G-P).,high,Villagatan 19,Stockholm,317.8,171
Developers Bay AB,5590018122,https://developersbay.se,,IT/tech-konsultförmedling - nätverk och matchmaking för frilansande utvecklare och konsultbolag.,high,Olof Palmes Gata 11 7tr.,Stockholm,304.7,23
Sverek AB,5566305461,https://sverek.se,info@sverek.se,"Vårdbemanning - sjuksköterskor, läkare, terapeuter och psykologer.",high,Åsögatan 108,Stockholm,295.7,140
Svenska Storesupport Lager & Logistik AB,5590636295,https://storesupport.se,,Lager- och logistikbemanning för detaljhandeln.,high,Vretenvägen 13,Solna,262.4,424
